"","age_group","year","value"
"560","45-49",2000,0.4
"561","15-19",2001,17.9
"562","20-24",2001,58.6
"563","25-29",2001,105.4
"564","30-34",2001,108.6
"565","35-39",2001,49.3
"566","40-44",2001,9.2
"567","45-49",2001,0.4
"568","15-19",2002,17.4
"569","20-24",2002,57
"570","25-29",2002,105.6
"571","30-34",2002,112
"572","35-39",2002,52.5
"573","40-44",2002,9.8
"574","45-49",2002,0.4
"575","15-19",2003,16.2
"576","20-24",2003,54.8
"577","25-29",2003,103.6
"578","30-34",2003,113.3
"579","35-39",2003,54.7
"580","40-44",2003,10.1
"581","45-49",2003,0.5
"582","15-19",2004,16.2
"583","20-24",2004,53.4
"584","25-29",2004,103.1
"585","30-34",2004,115.1
"586","35-39",2004,57.7
"587","40-44",2004,10.6
"588","45-49",2004,0.5
"589","15-19",2005,16.6
"590","20-24",2005,54.4
"591","25-29",2005,105.5
"592","30-34",2005,119.5
"593","35-39",2005,61.5
"594","40-44",2005,11.1
"595","45-49",2005,0.5
"596","15-19",2006,16.3
"597","20-24",2006,54.1
"598","25-29",2006,104.7
"599","30-34",2006,123.1
"600","35-39",2006,64.7
"601","40-44",2006,11.6
"602","45-49",2006,0.6
"603","15-19",2007,17.1
"604","20-24",2007,58.8
"605","25-29",2007,110
"606","30-34",2007,129.7
"607","35-39",2007,69.6
"608","40-44",2007,13
"609","45-49",2007,0.7
"610","15-19",2008,18.4
"611","20-24",2008,59.4
"612","25-29",2008,108.9
"613","30-34",2008,130.7
"614","35-39",2008,72
"615","40-44",2008,14.5
"616","45-49",2008,0.7
"617","15-19",2009,17.9
"618","20-24",2009,56.8
"619","25-29",2009,106.3
"620","30-34",2009,127.7
"621","35-39",2009,70.1
"622","40-44",2009,14.5
"623","45-49",2009,0.7
"624","15-19",2010,16.7
"625","20-24",2010,55.3
"626","25-29",2010,104
"627","30-34",2010,127.2
"628","35-39",2010,71.1
"629","40-44",2010,15.1
"630","45-49",2010,0.8
"631","15-19",2011,16.1
"632","20-24",2011,53
"633","25-29",2011,103.1
"634","30-34",2011,124.9
"635","35-39",2011,70.3
"636","40-44",2011,15.2
"637","45-49",2011,0.9
"638","15-19",2012,16.1
"639","20-24",2012,53.2
"640","25-29",2012,102.6
"641","30-34",2012,126.9
"642","35-39",2012,71.5
"643","40-44",2012,15.2
"644","45-49",2012,1
"645","15-19",2013,14.6
"646","20-24",2013,51.3
"647","25-29",2013,99.1
"648","30-34",2013,124.8
"649","35-39",2013,70.9
"650","40-44",2013,15.4
"651","45-49",2013,0.9
"652","15-19",2014,12.9
"653","20-24",2014,47.4
"654","25-29",2014,94.8
"655","30-34",2014,120.4
"656","35-39",2014,69.2
"657","40-44",2014,14.4
"658","45-49",2014,1
"659","15-19",2015,12
"660","20-24",2015,47.3
"661","25-29",2015,93.4
"662","30-34",2015,121.7
"663","35-39",2015,69.8
"664","40-44",2015,14.6
"665","45-49",2015,1.1
